,City,Population,Population Change,Poverty Rate,Median Age,Median Household Income,Median Household Income Change,Number Employees,Number Employees Change,Median Property Value,Median Property Value Change,Average Male Salary,Average Female Salary,Gender Salary Ratio M2F,Gini 2018,Gini Change,Patient to Clinician Ratio,Foreign Born Population Ratio,Citizens Percentage,Total Degrees,Degrees Ratio M2F,Degrees per Capita,Households,People Per House,Homeownership,Commute Time
0,"Los Angeles, CA",13300000.0,-0.467,15.8,37.1,72563.0,3.67,6620000.0,0.499,650300.0,5.38,78575.0,62298.0,1.2612764454717647,0.499,0.40241448692152954,1281.0,33.2,84.7,247648.0,0.7242080345331755,0.01862015037593985,4350000.0,3.057471264367816,48.2,29.4
1,"Dallas, TX",7540000.0,1.89,13.3,35.1,69445.0,3.06,3820000.0,2.89,238800.0,11.1,67436.0,48835.0,1.3808948500051192,0.479,0.0,1670.0,17.4,88.2,84389.0,0.6769802472079806,0.011192175066312997,2620000.0,2.877862595419847,59.1,26.8
2,"Washington, DC",6250000.0,0.555,8.28,37.1,102180.0,2.52,3370000.0,0.729,433200.0,2.03,77546.0,58156.0,1.3334135772749158,0.48,0.6289308176100635,1316.0,22.2,89.5,102309.0,0.8648426962196055,0.01636944,2230000.0,2.802690582959641,63.5,32.8
3,"Philadelphia, PA",6100000.0,0.00413,13.1,38.8,70747.0,3.17,3020000.0,1.64,256400.0,2.19,69779.0,52119.0,1.3388399623937528,0.469,-0.6355932203389837,1232.0,10.5,95.0,100077.0,0.7237120859815016,0.01640606557377049,2290000.0,2.663755458515284,66.6,28.8
4,"Riverside, CA",4620000.0,0.91,16.8,34.8,65671.0,5.93,2020000.0,3.81,360300.0,5.26,78575.0,62298.0,1.2612764454717647,0.499,0.40241448692152954,1281.0,20.9,89.9,44650.0,0.6734755069150332,0.009664502164502164,1370000.0,3.372262773722628,64.6,31.1
5,"Seattle, WA",3940000.0,1.87,10.4,37.0,87910.0,7.03,2080000.0,3.17,487400.0,10.8,79555.0,58794.0,1.353114263360207,0.469,0.6437768240343233,1202.0,17.2,90.4,56794.0,0.7704969137726791,0.014414720812182742,1530000.0,2.5751633986928106,59.8,29.5
6,"Minneapolis, MN",3630000.0,0.794,9.36,37.3,79578.0,3.54,1990000.0,0.687,270600.0,6.2,72786.0,56167.0,1.2958854843591432,0.462,-1.282051282051283,1111.0,10.2,95.1,68442.0,0.5465021691973969,0.018854545454545454,1390000.0,2.6115107913669067,70.0,24.0
7,"Tampa, FL",3140000.0,1.66,14.6,42.3,54912.0,5.17,1460000.0,2.49,210000.0,9.83,62257.0,46612.0,1.3356431820132155,0.474,0.21141649048625813,1376.0,12.7,93.4,50865.0,0.5489676594189659,0.01619904458598726,1230000.0,2.5528455284552845,64.7,25.6
8,"Orlando, FL",2570000.0,2.52,15.4,37.3,58610.0,6.39,1270000.0,3.23,242500.0,10.7,62257.0,46612.0,1.3356431820132155,0.474,0.21141649048625813,1376.0,16.5,91.3,54969.0,0.8335223482321548,0.021388715953307394,877000.0,2.9304446978335235,61.0,27.6
9,"San Antonio, TX",2520000.0,1.78,15.2,34.9,57379.0,1.07,1160000.0,1.95,182000.0,7.0,67436.0,48835.0,1.3808948500051192,0.479,0.0,1670.0,11.3,92.9,33143.0,0.7392422334172963,0.013151984126984127,824000.0,3.058252427184466,62.3,25.3
10,"Portland, OR",2480000.0,1.12,12.3,38.4,75599.0,5.1,1290000.0,1.72,397500.0,5.72,66934.0,52914.0,1.264958234115735,0.466,1.5250544662309382,1070.0,12.3,93.5,33864.0,0.588963963963964,0.01365483870967742,955000.0,2.5968586387434556,62.4,24.8
11,"San Jose, CA",2000000.0,0.0322,8.67,37.1,124696.0,6.15,1050000.0,0.38,1090000.0,13.9,78575.0,62298.0,1.2612764454717647,0.499,0.40241448692152954,1281.0,37.6,82.1,28604.0,0.8691759785662941,0.014302,664000.0,3.0120481927710845,55.7,28.3
12,"Nashville, TN",1930000.0,1.46,12.8,36.5,65919.0,3.1,1010000.0,0.648,261900.0,7.82,60607.0,44237.0,1.3700522187309265,0.464,-0.4291845493562235,1382.0,7.54,95.1,25700.0,0.7113937537457549,0.013316062176165802,731000.0,2.640218878248974,65.6,26.4
13,"Virginia Beach, VA",1730000.0,0.274,12.2,36.3,65604.0,2.1,797858.0,-0.14,254700.0,3.58,77546.0,58156.0,1.3334135772749158,0.48,0.6289308176100635,1316.0,6.41,96.9,27828.0,0.652199726889509,0.016085549132947977,654000.0,2.6452599388379205,60.6,23.9
14,"Milwaukee, WI",1580000.0,-0.0078,14.5,37.9,60643.0,2.01,796045.0,0.679,222100.0,3.88,64874.0,47745.0,1.3587600795894859,0.441,-2.433628318584073,1247.0,7.1,95.9,21450.0,0.67761614265603,0.013575949367088608,634000.0,2.4921135646687698,60.4,21.9
15,"Hartford, CT",1210000.0,-0.327,10.1,40.5,77258.0,8.18,620747.0,1.48,249800.0,0.766,91981.0,65608.0,1.401978417266187,0.505,1.4056224899598406,1180.0,13.2,94.4,23458.0,0.8003069838833461,0.019386776859504132,471000.0,2.5690021231422504,67.2,23.1
16,"Birmingham, AL",1150000.0,0.173,15.7,39.1,56409.0,6.22,515590.0,0.027,169400.0,4.96,61079.0,43050.0,1.4187921022067365,0.461,0.43572984749455373,1535.0,3.91,97.7,12276.0,0.6133526087527927,0.010674782608695652,436000.0,2.6376146788990824,69.3,25.7
17,"Grand Rapids, MI",1070000.0,0.972,12.4,36.1,63344.0,3.34,548456.0,0.785,189500.0,8.35,66961.0,48599.0,1.377826704253174,0.472,-0.21141649048625813,1254.0,6.51,96.5,14782.0,0.6659528907922913,0.013814953271028038,397000.0,2.695214105793451,74.0,21.2
